"date","close","volume","open","high","low"
"16:00","108.10","12,187,862","108.84","109.78","106.75"
"2015/10/06","108.3300","20797800.0000","110.3300","112.2500","105.6400"
"2015/10/05","111.2500","21136430.0000","107.4800","112.2800","105.7600"
"2015/10/02","106.1100","21492320.0000","103.0100","106.8700","101.4500"
"2015/10/01","105.9800","17393750.0000","102.9100","106.1100","101.1200"
"2015/09/30","103.2600","16995160.0000","99.9100","103.4600","99.0500"
"2015/09/29","98.3500","17392530.0000","99.6300","100.6300","96.8500"
"2015/09/28","99.4700","16971150.0000","101.5700","103.3275","97.8414"
"2015/09/25","102.2400","19055380.0000","105.3000","105.4487","101.5700"
"2015/09/24","103.7600","21210600.0000","97.1100","104.0000","96.7800"
"2015/09/23","98.0700","10252900.0000","98.6000","99.7400","97.6600"
"2015/09/22","98.4700","16694800.0000","98.2900","99.9000","97.0000"
"2015/09/21","100.3000","17868590.0000","103.3000","103.7700","99.5568"
"2015/09/18","102.6200","21650810.0000","102.0000","104.3600","100.7100"
"2015/09/17","104.2100","25768300.0000","103.6700","107.5000","101.8300"
"2015/09/16","104.0800","27967180.0000","99.7000","104.4800","99.3300"
"2015/09/15","99.1600","22536440.0000","95.2200","99.6500","93.6100"
"2015/09/14","95.6900","15520270.0000","96.8400","97.9100","94.3300"
"2015/09/11","97.5100","17351030.0000","98.5700","100.8500","97.2300"
"2015/09/10","99.4800","21010380.0000","99.4200","100.8500","96.7800"
"2015/09/09","99.1800","35433880.0000","96.5100","102.7900","95.5200"
"2015/09/08","94.9500","43420420.0000","102.0800","102.5000","93.5500"
"2015/09/04","98.7900","24175260.0000","98.0500","99.9280","97.3400"
"2015/09/03","101.0600","29291720.0000","102.6900","104.1700","100.1100"
"2015/09/02","105.4400","39732710.0000","109.3100","109.5000","100.3000"
"2015/09/01","105.7900","35745230.0000","109.3500","111.2400","103.8200"
"2015/08/31","115.0300","16963370.0000","115.2400","117.0000","113.7600"
"2015/08/28","117.6300","20211990.0000","116.3500","119.3500","115.8800"
"2015/08/27","117.6600","36904220.0000","114.9400","118.2500","113.0200"
"2015/08/26","110.1300","36003580.0000","107.1500","110.2800","102.0200"
"2015/08/25","101.5200","37441020.0000","107.7500","107.8800","101.5000"
"2015/08/24","96.8800","59798140.0000","88.7500","109.6300","85.5000"
"2015/08/21","103.9600","33156230.0000","106.2000","110.0000","102.7510"
"2015/08/20","112.4900","27898760.0000","119.8000","121.4500","111.3400"
"2015/08/19","122.0600","10089710.0000","123.5000","123.7000","121.5000"
"2015/08/18","124.0500","9365646.0000","125.2600","126.7490","123.5500"
"2015/08/17","125.3600","9211682.0000","123.1400","125.7000","122.5900"
"2015/08/14","123.3900","8652710.0000","124.9600","125.0000","123.0000"
"2015/08/13","123.7300","15227460.0000","120.9900","125.7300","119.3400"
"2015/08/12","120.5100","13825250.0000","121.4700","122.4500","118.6600"
"2015/08/11","122.7400","11560300.0000","120.0100","123.7600","120.0000"
"2015/08/10","123.0300","13395230.0000","126.0900","126.5000","121.5100"
"2015/08/07","123.5200","17340440.0000","126.4200","126.6000","121.3000"
"2015/08/06","126.4500","24659910.0000","126.2900","128.8500","122.0400"
"2015/08/05","123.7100","26902730.0000","125.6200","129.2900","122.7050"
"2015/08/04","121.1500","29546660.0000","113.1500","122.7900","113.0000"
"2015/08/03","112.5600","10124570.0000","114.6000","114.6000","111.7800"
"2015/07/31","114.3100","16249740.0000","111.9500","115.0000","111.1500"
"2015/07/30","111.5600","14199340.0000","106.4000","111.9000","105.4000"
"2015/07/29","107.0800","6679819.0000","106.8300","107.7500","105.4000"
"2015/07/28","106.9000","11151030.0000","107.2900","107.9400","103.8800"
"2015/07/27","106.4300","11284860.0000","107.7900","109.8600","106.2500"
