"date","close","volume","open","high","low"
"16:00","105.63","37,296,952","105.63","105.86","104.29"
"2015/10/06","105.0000","32995420.0000","105.2500","105.6000","104.1800"
"2015/10/05","105.5000","32790070.0000","104.7800","105.7800","104.5500"
"2015/10/02","104.0100","59191750.0000","100.8000","104.0100","100.4800"
"2015/10/01","102.2200","39269660.0000","101.9400","102.2300","100.5900"
"2015/09/30","101.7600","41163010.0000","100.8900","101.8700","100.5000"
"2015/09/29","99.4700","48777030.0000","100.2400","101.2600","98.7500"
"2015/09/28","99.9900","43554240.0000","102.4800","102.5500","99.6900"
"2015/09/25","102.9200","44366520.0000","104.9100","105.0100","102.2800"
"2015/09/24","103.8000","38085950.0000","103.1700","104.1900","102.2700"
"2015/09/23","104.1800","21732470.0000","104.3800","104.6600","103.6400"
"2015/09/22","104.1000","47314070.0000","104.0600","104.4225","103.1300"
"2015/09/21","105.6800","35740130.0000","105.9300","106.5500","104.7300"
"2015/09/18","105.3500","46867000.0000","105.2300","106.6000","105.1700"
"2015/09/17","107.1300","56077850.0000","106.9800","108.7250","106.6400"
"2015/09/16","107.0900","31303420.0000","106.5100","107.1900","106.1400"
"2015/09/15","106.4900","29849160.0000","105.5000","106.8200","105.1100"
"2015/09/14","105.2500","19703520.0000","105.9600","105.9800","104.8500"
"2015/09/11","105.5700","29030990.0000","104.5100","105.5700","104.2100"
"2015/09/10","104.9900","47639410.0000","103.7400","105.6800","103.6200"
"2015/09/09","103.8600","46515680.0000","106.2800","106.3100","103.5900"
"2015/09/08","105.0400","37286120.0000","104.1200","105.1650","103.6900"
"2015/09/04","102.1600","49327020.0000","101.9700","102.8450","101.5900"
"2015/09/03","103.3900","45094140.0000","104.3100","105.0200","103.1000"
"2015/09/02","103.9000","43651540.0000","102.8800","103.9200","101.7000"
"2015/09/01","101.0500","71909600.0000","101.7100","103.2900","100.6300"
"2015/08/31","104.3100","39466960.0000","105.0300","105.6100","104.0500"
"2015/08/28","105.6200","49696610.0000","105.0800","106.0000","104.8500"
"2015/08/27","105.6400","69234360.0000","104.5200","105.7100","103.2799"
"2015/08/26","103.0300","103910500.0000","100.9600","103.2300","98.9300"
"2015/08/25","98.0900","74084370.0000","102.0700","102.7400","98.0100"
"2015/08/24","98.4600","147516100.0000","94.2300","102.5300","84.7400"
"2015/08/21","102.4000","96313420.0000","105.5700","106.4700","102.4000"
"2015/08/20","107.0800","57547890.0000","109.1100","109.4600","107.0700"
"2015/08/19","110.1300","42469680.0000","110.5200","111.1050","109.4900"
"2015/08/18","110.8600","13969500.0000","111.2750","111.3700","110.7100"
"2015/08/17","111.4300","21170230.0000","110.2400","111.4600","109.9600"
"2015/08/14","110.5100","17877350.0000","110.0800","110.6700","109.8600"
"2015/08/13","110.3400","22493310.0000","110.6300","111.1600","110.1000"
"2015/08/12","110.5200","41859580.0000","109.3800","110.7350","108.2200"
"2015/08/11","110.1400","36080730.0000","110.9800","111.4101","109.5300"
"2015/08/10","111.5700","21448440.0000","111.0100","111.8100","111.0000"
"2015/08/07","110.3100","29983010.0000","110.1800","110.5700","109.4000"
"2015/08/06","110.4500","42091280.0000","112.3500","112.5000","109.9500"
"2015/08/05","112.2500","28947870.0000","112.0100","113.0000","111.8800"
"2015/08/04","111.3900","22067630.0000","111.5500","111.7450","110.9300"
"2015/08/03","111.6000","24918540.0000","111.9700","112.2800","110.8610"
"2015/07/31","111.9500","21709750.0000","112.4300","112.4900","111.7200"
"2015/07/30","112.0800","25374630.0000","111.2900","112.2663","110.6210"
"2015/07/29","111.5500","26662660.0000","111.3700","111.7900","110.9400"
"2015/07/28","111.1300","33530920.0000","110.6700","111.3500","109.7850"
"2015/07/27","110.1800","35945050.0000","110.4700","110.9460","109.9400"
"2015/07/24","111.1000","30820910.0000","112.8000","113.0030","110.9300"
"2015/07/23","112.2000","25538680.0000","112.7300","113.1000","111.9100"
"2015/07/22","112.6200","35532740.0000","112.1700","113.1690","112.1650"
"2015/07/21","113.9100","35109060.0000","114.0200","114.2000","113.5800"
"2015/07/20","113.9800","26512480.0000","113.8300","114.3900","113.4800"
"2015/07/17","113.5900","35365800.0000","112.8400","113.5900","112.6500"
"2015/07/16","111.9400","29611210.0000","111.2900","111.9600","111.0700"
"2015/07/15","110.3800","28578680.0000","110.4700","110.8100","110.0700"
"2015/07/14","110.2600","21943600.0000","109.6900","110.5600","109.6300"
"2015/07/13","109.5400","25735740.0000","108.5800","109.6300","108.5700"
"2015/07/10","107.6500","25870010.0000","107.4400","108.0500","107.0500"
"2015/07/09","106.0300","28213180.0000","107.5000","107.5955","106.0200"
"2015/07/08","106.0900","39630660.0000","107.2000","107.3300","105.8942"
"2015/07/07","107.9700","44195840.0000","107.8200","108.0700","105.8300"
"2015/07/06","107.7000","24229350.0000","107.2700","108.3200","107.0400"
"2015/07/02","107.9500","20452590.0000","108.2300","108.3200","107.6200"
"2015/07/01","107.9200","21266280.0000","108.1300","108.3464","107.4200"
"2015/06/30","107.0700","34728680.0000","107.4900","107.7200","106.7400"
"2015/06/29","106.6900","49986200.0000","108.0600","108.6600","106.6400"
"2015/06/26","109.2700","31778070.0000","109.9800","110.2300","108.8600"
"2015/06/25","110.0000","18299070.0000","110.6500","110.7600","109.8150"
"2015/06/24","110.2200","15803520.0000","110.6600","111.1300","110.1900"
"2015/06/23","110.7900","18111040.0000","110.8200","110.8900","110.3300"
"2015/06/22","110.7000","19052920.0000","110.7000","111.0300","110.4500"
"2015/06/19","109.8900","27665750.0000","110.4900","110.5750","109.8100"
"2015/06/18","110.6900","42761700.0000","109.5000","110.8800","109.4400"
"2015/06/17","109.1000","23271830.0000","108.9800","109.4500","108.4300"
"2015/06/16","108.8000","16431880.0000","108.1000","108.9799","108.0500"
"2015/06/15","108.2100","31205930.0000","107.9400","108.3800","107.3100"
"2015/06/12","108.7500","27200930.0000","109.0700","109.3000","108.6000"
"2015/06/11","109.6500","17536900.0000","109.8600","110.1500","109.4600"
"2015/06/10","109.4900","30262740.0000","108.3800","109.8100","108.2600"
"2015/06/09","108.0100","27539820.0000","107.9300","108.4000","107.2000"
"2015/06/08","108.1900","24493160.0000","109.2500","109.3300","107.9700"
"2015/06/05","109.3000","22635950.0000","109.4300","109.6900","108.6300"
"2015/06/04","109.5600","31260840.0000","109.7800","110.4800","109.2100"
"2015/06/03","110.4000","20414180.0000","110.5700","110.8100","110.1300"
"2015/06/02","110.0700","19427700.0000","110.0100","110.6100","109.4700"
"2015/06/01","110.4200","24532030.0000","110.6400","110.7200","109.5200"
"2015/05/29","110.0500","28496460.0000","110.6400","110.7900","109.7900"
"2015/05/28","110.7100","17285040.0000","110.7500","111.0100","110.3700"
"2015/05/27","110.9600","30543870.0000","109.5300","111.0800","109.2900"
"2015/05/26","109.2000","25437760.0000","110.2300","110.3800","108.7600"
"2015/05/22","110.4700","13534030.0000","110.4500","110.8700","110.3800"
"2015/05/21","110.5800","16721600.0000","109.8200","110.7300","109.6600"
"2015/05/20","110.0100","21073190.0000","110.0200","110.6700","109.4250"
"2015/05/19","109.9400","14189220.0000","110.1800","110.3500","109.7600"
"2015/05/18","110.0600","17600370.0000","109.4000","110.2800","109.3200"
"2015/05/15","109.5800","23910810.0000","109.8600","110.0100","109.3100"
"2015/05/14","109.5800","23877920.0000","108.8800","109.6700","108.4800"
"2015/05/13","108.0000","20727950.0000","108.2500","108.8100","107.8400"
"2015/05/12","107.7800","33638330.0000","107.6300","108.3300","106.8000"
"2015/05/11","108.2700","19654010.0000","108.7600","108.9800","108.1900"
"2015/05/08","108.6900","32862210.0000","108.4600","108.9200","108.3000"
"2015/05/07","107.3500","29322740.0000","106.6800","107.6500","106.6000"
"2015/05/06","106.7100","42584490.0000","107.6400","107.9500","105.9950"
"2015/05/05","107.4500","47694540.0000","108.8000","109.0000","107.4000"
"2015/05/04","109.2300","23486200.0000","109.4000","109.9100","109.1700"
"2015/05/01","109.0500","32250640.0000","108.0500","109.1200","108.0300"
"2015/04/30","107.6300","42163410.0000","108.7300","109.1700","107.0600"
"2015/04/29","109.3500","33990790.0000","109.4300","110.0700","108.7500"
"2015/04/28","110.0400","36468620.0000","110.3400","110.5500","109.1100"
"2015/04/27","110.2600","31009350.0000","110.9500","111.1600","110.0200"
"2015/04/24","110.5400","32489480.0000","110.2100","110.6900","110.0300"
"2015/04/23","109.0600","29346420.0000","108.2800","109.5500","108.2600"
"2015/04/22","108.6500","21255260.0000","108.3400","108.8300","107.6400"
"2015/04/21","108.0600","22679790.0000","108.2200","108.4100","107.9300"
"2015/04/20","107.6000","28909950.0000","106.5400","107.7900","106.5000"
"2015/04/17","106.0100","46040660.0000","106.6600","106.9500","105.5500"
"2015/04/16","107.6900","16169630.0000","107.5500","107.8800","107.4000"
"2015/04/15","107.8400","21106330.0000","107.4500","108.0700","107.3210"
"2015/04/14","107.1700","23712730.0000","107.3700","107.6800","106.5600"
"2015/04/13","107.4800","17714100.0000","107.8300","108.3800","107.3600"
"2015/04/10","107.7500","17152480.0000","107.2700","107.7600","107.0300"
"2015/04/09","107.3100","23035820.0000","106.5900","107.3500","106.2300"
"2015/04/08","106.6400","25835080.0000","105.8400","106.7900","105.8300"
"2015/04/07","105.8000","19337700.0000","105.9200","106.7000","105.8000"
"2015/04/06","105.9800","24425130.0000","104.5000","106.2700","104.3400"
"2015/04/02","105.1200","19155470.0000","105.1500","105.4600","104.7800"
"2015/04/01","105.0500","32899830.0000","105.6000","105.6200","104.3700"
"2015/03/31","105.6000","30433340.0000","106.4300","106.6500","105.5700"
"2015/03/30","106.7300","29417530.0000","106.1600","106.8200","106.1600"
"2015/03/27","105.5200","33813580.0000","105.0800","105.7700","104.9200"
"2015/03/26","105.1000","46979270.0000","104.5900","105.7000","104.2400"
"2015/03/25","105.4600","41514990.0000","108.1000","108.2000","105.4200"
"2015/03/24","107.9300","21527970.0000","108.3100","108.8100","107.9100"
"2015/03/23","108.3200","17236680.0000","108.4700","108.7700","108.2800"
"2015/03/20","108.5300","31735460.0000","108.7200","109.0700","108.5100"
"2015/03/19","108.0800","31293790.0000","108.0300","108.3800","107.8700"
"2015/03/18","107.9200","40540020.0000","106.5800","108.4100","106.0300"
"2015/03/17","106.8700","19587100.0000","106.4050","107.0400","106.1600"
"2015/03/16","106.7000","25652060.0000","105.7300","106.7400","105.6200"
"2015/03/13","105.3400","42017690.0000","105.7000","106.1200","104.6800"
"2015/03/12","105.8000","21421310.0000","105.0300","105.9200","104.9600"
"2015/03/11","105.1100","23729670.0000","105.8750","106.0100","105.0700"
"2015/03/10","105.7200","34162690.0000","106.9500","106.9800","105.7200"
"2015/03/09","107.7200","26218500.0000","107.6300","107.9857","107.1900"
"2015/03/06","107.4100","30974620.0000","108.5000","108.7100","107.1400"
"2015/03/05","108.6400","15357620.0000","108.7300","108.9650","108.1900"
"2015/03/04","108.4500","20974380.0000","108.5100","108.6700","107.8600"
"2015/03/03","108.8700","20712060.0000","109.0500","109.1600","108.1800"
"2015/03/02","109.3800","22950150.0000","108.6100","109.4200","108.5900"
"2015/02/27","108.4000","26025710.0000","108.8400","108.9100","108.2300"
"2015/02/26","108.8800","22219960.0000","108.4400","108.9400","108.1350"
"2015/02/25","108.3300","19460110.0000","108.4400","108.8600","108.0900"
"2015/02/24","108.6000","19715430.0000","108.3800","108.7300","108.0500"
"2015/02/23","108.5200","17815620.0000","108.3500","108.5500","108.1100"
"2015/02/20","108.4100","28330110.0000","107.6200","108.4700","107.2800"
"2015/02/19","107.6900","19811270.0000","107.0900","107.7600","107.0600"
"2015/02/18","107.1600","15108010.0000","106.8800","107.2199","106.7400"
"2015/02/17","107.0100","17669260.0000","106.9100","107.0800","106.6432"
"2015/02/13","106.9100","29022100.0000","106.3000","106.9300","106.1010"
"2015/02/12","106.0000","22488290.0000","105.4600","106.0400","105.3000"
"2015/02/11","104.7800","20138980.0000","104.5200","105.0200","104.3200"
"2015/02/10","104.4000","23649670.0000","103.3700","104.5400","103.2100"
"2015/02/09","102.8000","22591490.0000","102.7300","103.2850","102.5500"
"2015/02/06","103.1300","34166470.0000","103.9200","104.1700","102.7600"
"2015/02/05","103.7600","23563960.0000","103.1300","103.8300","102.8700"
"2015/02/04","102.8700","34011550.0000","102.5400","103.5500","102.3100"
"2015/02/03","102.9600","30732310.0000","102.3500","103.0300","101.6800"
"2015/02/02","101.9800","43589590.0000","101.3300","102.0700","99.7500"
"2015/01/30","101.1000","41569750.0000","101.8000","102.5800","100.9600"
"2015/01/29","101.8900","46401000.0000","100.8400","102.0779","99.9600"
"2015/01/28","100.9200","43454560.0000","103.0700","103.1800","100.9000"
"2015/01/27","101.4400","45046990.0000","102.5000","102.5600","101.1000"
"2015/01/26","104.1400","19877410.0000","104.1400","104.3300","103.6100"
"2015/01/23","104.2600","34771110.0000","104.0200","104.5800","103.7200"
"2015/01/22","104.0300","40825720.0000","102.5400","104.1400","101.6400"
"2015/01/21","102.1400","40022140.0000","101.3200","102.6190","100.9648"
"2015/01/20","101.6200","30848640.0000","101.4300","101.8800","100.2900"
"2015/01/16","100.8200","35196110.0000","99.5200","100.9500","99.3600"
"2015/01/15","99.6500","50854600.0000","101.4300","101.5900","99.5250"
"2015/01/14","100.9600","51233350.0000","100.5000","101.4829","100.0700"
"2015/01/13","101.5200","56135260.0000","102.5400","103.6200","100.7000"
"2015/01/12","101.5500","34107820.0000","102.8200","102.9300","101.2850"
"2015/01/09","102.6200","41401310.0000","103.6200","103.6500","102.0200"
"2015/01/08","103.3000","40172530.0000","102.2200","103.5000","102.1110"
"2015/01/07","101.3600","36026780.0000","100.7300","101.6000","100.4850"
"2015/01/06","100.0700","66166150.0000","101.5800","101.7500","99.6200"
"2015/01/05","101.4300","36311890.0000","102.4900","102.6100","101.1400"
"2015/01/02","102.9400","31295820.0000","103.7600","104.2000","102.4400"
"2014/12/31","103.2500","24363130.0000","104.5000","104.9100","103.1000"
